row,col,x,y,year,OGI,50PCGI,OGMx,Peak,OGD,50PCGD,OGMn,NumCycles,QA
77,306,416758.5,3814441.5,2022,154.0,212.0,229.0,238.0,247.0,266.0,303.0,1.0,1.0
60,336,416848.5,3814492.5,2022,146.0,210.0,228.0,238.0,248.0,267.0,297.0,1.0,1.0
89,368,416944.5,3814405.5,2022,161.0,211.0,228.0,236.0,246.0,264.0,290.0,1.0,1.0
81,399,417037.5,3814429.5,2022,147.0,204.0,226.0,236.0,245.0,264.0,294.0,1.0,1.0
77,449,417187.5,3814441.5,2022,156.0,211.0,229.0,238.0,247.0,266.0,294.0,1.0,1.0
82,460,417220.5,3814426.5,2022,152.0,210.0,229.0,238.0,247.0,265.0,289.0,1.0,1.0
88,490,417310.5,3814408.5,2022,139.0,209.0,229.0,238.0,248.0,266.0,293.0,1.0,1.0
83,527,417421.5,3814423.5,2022,160.0,213.0,230.0,239.0,248.0,267.0,292.0,1.0,1.0
71,567,417541.5,3814459.5,2022,149.0,207.0,231.0,241.0,253.0,275.0,306.0,1.0,1.0
60,594,417622.5,3814492.5,2022,144.0,207.0,231.0,241.0,253.0,277.0,312.0,1.0,1.0
61,626,417718.5,3814489.5,2022,163.0,214.0,232.0,241.0,252.0,274.0,305.0,1.0,1.0
70,639,417757.5,3814462.5,2022,161.0,213.0,231.0,240.0,250.0,269.0,294.0,1.0,1.0
85,670,417850.5,3814417.5,2022,154.0,208.0,229.0,239.0,249.0,270.0,296.0,1.0,1.0
75,694,417922.5,3814447.5,2022,154.0,212.0,230.0,239.0,249.0,268.0,298.0,1.0,1.0
60,724,418012.5,3814492.5,2022,126.0,207.0,232.0,242.0,253.0,273.0,305.0,1.0,1.0
75,767,418141.5,3814447.5,2022,122.0,213.0,232.0,241.0,251.0,273.0,311.0,1.0,1.0
61,786,418198.5,3814489.5,2022,131.0,214.0,233.0,243.0,253.0,273.0,308.0,1.0,1.0
89,834,418342.5,3814405.5,2022,135.0,185.0,232.0,242.0,255.0,279.0,324.0,1.0,1.0
61,840,418360.5,3814489.5,2022,122.0,210.0,232.0,242.0,253.0,275.0,314.0,1.0,1.0
69,879,418477.5,3814465.5,2022,132.0,214.0,233.0,242.0,252.0,274.0,317.0,1.0,1.0
77,922,418606.5,3814441.5,2022,138.0,215.0,233.0,242.0,253.0,273.0,304.0,1.0,1.0
64,958,418714.5,3814480.5,2022,126.0,210.0,232.0,241.0,252.0,274.0,309.0,1.0,1.0
80,977,418771.5,3814432.5,2022,153.0,214.0,232.0,241.0,251.0,272.0,313.0,1.0,1.0
87,1013,418879.5,3814411.5,2022,127.0,214.0,231.0,240.0,250.0,270.0,313.0,1.0,1.0
62,1035,418945.5,3814486.5,2022,129.0,214.0,232.0,241.0,251.0,271.0,316.0,1.0,2.0
82,1079,419077.5,3814426.5,2022,158.0,211.0,232.0,242.0,254.0,278.0,322.0,1.0,1.0
79,1088,419104.5,3814435.5,2022,160.0,213.0,232.0,241.0,251.0,273.0,321.0,1.0,1.0
77,1116,419188.5,3814441.5,2022,156.0,213.0,231.0,241.0,251.0,274.0,317.0,1.0,1.0
80,1147,419281.5,3814432.5,2022,131.0,213.0,231.0,239.0,250.0,271.0,312.0,1.0,1.0
76,1187,419401.5,3814444.5,2022,152.0,213.0,229.0,237.0,246.0,266.0,301.0,1.0,1.0
86,1206,419458.5,3814414.5,2022,123.0,211.0,229.0,238.0,248.0,268.0,304.0,1.0,1.0
60,1245,419575.5,3814492.5,2022,140.0,210.0,229.0,237.0,246.0,266.0,292.0,1.0,1.0
66,1273,419659.5,3814474.5,2022,117.0,208.0,230.0,239.0,250.0,272.0,313.0,1.0,2.0
79,1295,419725.5,3814435.5,2022,152.0,209.0,229.0,238.0,247.0,267.0,294.0,1.0,1.0
60,1344,419872.5,3814492.5,2022,139.0,192.0,228.0,237.0,248.0,270.0,303.0,1.0,1.0
89,1363,419929.5,3814405.5,2022,138.0,186.0,229.0,239.0,249.0,270.0,305.0,1.0,2.0
