row,col,x,y,year,gmm_full_k3,gmm_full_k4,gmm_full_k5,gmm_full_k6,gmm_full_k7,gmm_full_k8,gmm_full_k9,gmm_full_k10,gmm_full_k11,gmm_full_k12,gmm_full_k13,gmm_full_k14,gmm_full_k15,gmm_full_k16,gmm_full_k17,gmm_full_k18,gmm_full_k19,gmm_full_k20,gmm_diag_k3,gmm_diag_k4,gmm_diag_k5,gmm_diag_k6,gmm_diag_k7,gmm_diag_k8,gmm_diag_k9,gmm_diag_k10,gmm_diag_k11,gmm_diag_k12,gmm_diag_k13,gmm_diag_k14,gmm_diag_k15,gmm_diag_k16,gmm_diag_k17,gmm_diag_k18,gmm_diag_k19,gmm_diag_k20
23,2863,424429.5,3814603.5,2022,0,3,2,5,2,0,8,1,3,2,4,11,3,15,10,17,2,16,2,3,1,5,0,7,5,3,7,3,9,6,4,14,3,7,9,12
33,23,415909.5,3814573.5,2022,2,0,3,0,4,3,6,8,2,1,6,7,0,10,1,14,1,0,2,3,1,5,0,7,3,3,2,10,10,3,4,14,14,13,5,12
59,35,415945.5,3814495.5,2022,2,0,3,0,4,3,6,8,2,1,6,7,0,8,1,8,18,19,2,2,3,2,4,4,8,1,2,10,2,3,4,15,5,8,14,17
30,69,416047.5,3814582.5,2022,1,2,4,2,3,1,3,2,1,11,1,4,1,9,13,12,7,11,2,3,3,2,4,4,5,8,0,9,7,1,14,9,10,5,1,19
54,116,416188.5,3814510.5,2022,1,2,4,2,3,1,3,2,1,11,1,4,1,9,13,12,0,11,2,3,3,5,4,7,5,8,0,9,7,1,14,9,10,5,1,19
50,135,416245.5,3814522.5,2022,1,2,4,2,3,1,3,2,1,11,1,4,1,9,13,6,7,11,2,3,1,5,0,7,5,8,0,9,7,12,12,12,3,12,8,5
37,169,416347.5,3814561.5,2022,2,0,3,0,4,3,6,8,2,1,6,7,0,10,1,14,1,0,2,3,1,5,0,7,5,3,2,10,9,13,4,15,3,8,8,17
42,206,416458.5,3814546.5,2022,2,0,3,0,4,3,6,8,2,1,6,7,0,10,1,14,1,0,2,3,1,5,0,7,5,3,2,10,2,13,4,15,5,8,8,17
46,234,416542.5,3814534.5,2022,1,2,4,2,3,1,3,2,1,0,12,2,2,9,4,9,17,15,2,2,3,2,4,4,8,1,6,0,7,1,10,0,1,10,13,4
55,257,416611.5,3814507.5,2022,1,2,4,2,3,1,3,2,1,11,1,4,1,9,13,12,10,11,2,3,3,5,0,7,5,8,0,9,7,12,14,9,10,5,1,19
32,289,416707.5,3814576.5,2022,1,2,4,2,3,1,3,2,1,0,12,2,2,0,4,9,17,15,2,3,3,2,0,7,5,8,0,9,7,12,14,9,10,5,1,19
59,308,416764.5,3814495.5,2022,1,2,4,2,3,1,3,2,1,0,12,2,2,0,4,9,17,15,2,2,3,2,4,4,8,1,6,0,3,5,0,1,4,2,7,2
51,332,416836.5,3814519.5,2022,1,2,4,2,3,1,3,2,1,0,12,2,2,0,4,9,17,15,2,2,3,2,4,4,8,1,6,0,3,5,0,1,4,2,7,2
44,379,416977.5,3814540.5,2022,1,2,4,2,3,1,3,2,1,0,12,2,2,0,4,9,17,15,2,2,3,2,4,4,8,1,6,0,3,5,0,1,4,2,7,2
57,407,417061.5,3814501.5,2022,1,2,4,2,3,1,3,2,1,0,12,2,2,0,4,9,17,15,2,2,3,2,4,4,8,1,6,0,3,5,0,1,4,2,7,2
40,448,417184.5,3814552.5,2022,1,2,4,2,3,1,3,2,1,0,12,2,2,0,4,9,17,15,2,2,3,2,4,4,8,1,6,0,3,5,0,1,4,2,7,2
45,468,417244.5,3814537.5,2022,1,2,4,2,3,1,3,2,1,0,12,2,2,0,4,9,17,15,2,2,3,2,4,4,8,1,6,0,3,5,0,1,4,2,7,2
47,489,417307.5,3814531.5,2022,1,2,4,2,3,1,3,2,1,0,12,2,2,0,4,9,17,15,2,2,3,2,4,4,8,1,6,0,3,5,0,1,4,2,7,2
55,525,417415.5,3814507.5,2022,1,2,4,2,3,1,3,2,1,0,12,2,2,0,4,9,17,15,2,2,3,2,4,4,8,1,6,0,3,5,0,1,4,2,7,2
38,555,417505.5,3814558.5,2022,1,2,4,2,3,1,3,2,1,0,12,2,2,0,4,9,17,15,2,2,3,2,4,4,8,1,6,0,3,5,0,1,4,2,7,2
51,594,417622.5,3814519.5,2022,1,2,4,2,3,4,0,2,9,9,1,4,13,2,13,6,7,11,2,2,1,2,4,7,5,8,0,9,7,1,10,0,1,10,13,4
53,617,417691.5,3814513.5,2022,0,2,0,3,1,5,5,6,5,8,8,0,7,2,14,16,0,17,0,0,0,0,3,6,1,4,5,5,4,2,9,13,12,0,16,1
46,651,417793.5,3814534.5,2022,1,2,4,2,3,1,3,2,1,11,1,4,1,9,13,1,7,2,2,2,1,2,4,4,8,8,6,9,7,1,10,0,1,10,13,4
54,662,417826.5,3814510.5,2022,1,2,4,2,3,1,3,2,1,11,1,4,1,9,13,6,7,11,2,3,1,5,0,7,5,8,0,9,7,12,10,0,1,10,13,4
54,704,417952.5,3814510.5,2022,1,2,4,2,3,1,3,2,1,11,1,4,1,9,13,1,7,2,2,2,3,2,4,4,8,1,6,0,7,1,10,0,1,10,13,4
37,732,418036.5,3814561.5,2022,1,2,4,2,3,1,3,2,1,11,1,4,1,9,13,1,7,2,2,2,1,2,4,4,8,8,0,9,7,1,10,0,1,10,13,4
34,773,418159.5,3814570.5,2022,1,2,0,3,0,4,0,0,9,9,8,3,13,2,5,16,4,5,0,0,0,0,3,3,1,4,3,5,4,2,9,13,12,0,16,1
39,797,418231.5,3814555.5,2022,1,2,0,3,0,4,0,6,9,9,8,3,13,2,5,16,4,5,0,3,1,5,0,7,1,8,5,9,4,12,9,13,12,12,16,1
37,833,418339.5,3814561.5,2022,1,2,0,1,0,4,0,6,9,9,1,4,13,2,13,6,7,5,2,3,1,5,0,7,5,8,0,9,7,12,10,0,3,12,8,5
59,848,418384.5,3814495.5,2022,1,2,0,3,0,4,0,6,9,9,8,3,13,2,5,16,4,5,0,0,0,0,3,0,1,4,3,5,4,2,1,13,12,0,16,1
39,870,418450.5,3814555.5,2022,1,2,0,3,0,4,0,6,9,9,8,3,13,2,5,16,4,5,0,0,0,0,3,0,1,4,3,5,4,2,9,13,12,0,16,1
56,921,418603.5,3814504.5,2022,1,2,4,2,3,4,0,2,9,11,1,4,1,9,13,1,7,2,2,3,1,5,0,7,5,8,0,9,7,12,10,0,1,12,13,5
40,959,418717.5,3814552.5,2022,1,2,4,2,3,1,3,2,1,11,1,4,1,9,13,12,7,11,2,3,1,5,0,7,5,8,0,9,7,12,10,0,1,12,8,5
36,968,418744.5,3814564.5,2022,2,0,3,0,4,3,6,5,2,1,6,7,0,10,7,14,1,0,2,3,1,5,0,7,5,3,0,10,9,7,4,14,3,7,8,12
36,996,418828.5,3814564.5,2022,1,2,0,3,0,4,0,6,9,9,1,3,13,2,13,6,7,5,2,3,1,5,0,7,5,8,0,9,9,12,12,12,3,12,8,5
30,1039,418957.5,3814582.5,2022,2,0,3,0,2,3,6,8,2,1,6,7,0,10,1,14,1,0,2,3,1,5,0,7,5,3,2,10,9,6,4,14,3,13,8,12
58,1058,419014.5,3814498.5,2022,1,2,4,3,0,4,0,0,9,9,8,3,13,2,5,16,4,5,0,0,0,0,3,0,1,4,3,5,4,2,9,13,12,0,16,1
32,1080,419080.5,3814576.5,2022,1,2,4,2,3,4,0,0,9,11,1,4,13,9,13,16,4,5,0,3,1,5,0,7,1,4,3,9,4,12,9,13,12,0,16,1
43,1133,419239.5,3814543.5,2022,2,0,3,0,4,3,6,5,2,1,6,7,0,10,7,14,1,0,0,0,0,0,3,0,1,4,3,5,12,2,1,7,15,3,0,16
58,1161,419323.5,3814498.5,2022,1,2,4,2,3,1,3,2,1,11,12,2,1,9,13,9,10,15,2,2,3,2,4,4,8,1,6,0,7,1,14,0,1,5,1,19
