row,col,x,y,year,kmeans_k3,kmeans_k4,kmeans_k5,kmeans_k6,kmeans_k7,kmeans_k8,kmeans_k9,kmeans_k10,kmeans_k11,kmeans_k12,kmeans_k13,kmeans_k14,kmeans_k15,kmeans_k16,kmeans_k17,kmeans_k18,kmeans_k19,kmeans_k20
33,2132,422236.5,3814573.5,2022,0,0,4,3,3,4,5,9,4,10,0,9,7,3,9,10,4,1
56,2182,422386.5,3814504.5,2022,0,0,4,1,5,5,5,8,4,10,11,7,10,12,7,11,14,16
59,2211,422473.5,3814495.5,2022,0,3,4,1,5,4,2,0,1,5,11,7,10,1,0,8,14,14
54,2226,422518.5,3814510.5,2022,0,3,4,1,5,4,2,0,1,5,11,7,10,1,0,8,2,2
51,2265,422635.5,3814519.5,2022,0,3,4,3,3,4,3,7,10,10,11,7,10,1,0,8,2,2
40,2291,422713.5,3814552.5,2022,0,3,0,1,5,5,2,0,1,5,11,7,10,1,0,4,15,14
59,2319,422797.5,3814495.5,2022,0,0,3,1,5,5,2,0,1,5,9,7,10,1,0,8,17,3
41,2354,422902.5,3814549.5,2022,2,1,3,1,6,5,6,6,6,0,2,12,6,11,3,6,17,3
36,2374,422962.5,3814564.5,2022,2,1,3,5,6,5,6,6,6,11,2,12,6,0,4,6,17,12
32,2403,423049.5,3814576.5,2022,2,1,3,2,6,5,6,6,6,0,2,12,6,11,3,13,0,6
43,2433,423139.5,3814543.5,2022,2,1,3,5,6,5,6,6,6,0,2,12,6,11,3,6,17,3
58,2482,423286.5,3814498.5,2022,2,1,3,5,6,5,6,6,6,0,2,12,6,11,3,13,0,3
31,2509,423367.5,3814579.5,2022,2,1,0,2,1,5,6,6,6,0,2,12,6,11,3,13,0,6
38,2549,423487.5,3814558.5,2022,2,1,3,5,6,5,6,6,3,11,1,2,1,6,2,1,7,18
32,2572,423556.5,3814576.5,2022,2,1,3,5,6,5,6,8,3,11,1,2,1,0,4,1,17,12
37,2585,423595.5,3814561.5,2022,2,1,3,5,6,5,6,6,3,11,2,2,1,0,4,6,17,12
43,2631,423733.5,3814543.5,2022,2,1,3,5,6,5,6,6,6,0,2,12,6,11,3,6,17,3
40,2653,423799.5,3814552.5,2022,2,1,3,1,5,5,6,6,6,0,2,7,10,1,0,6,17,3
31,2670,423850.5,3814579.5,2022,2,3,0,2,1,5,1,6,6,0,2,7,10,1,0,4,15,14
33,2714,423982.5,3814573.5,2022,2,1,3,5,6,5,6,6,6,0,2,12,6,11,3,6,17,3
38,2751,424093.5,3814558.5,2022,2,1,0,1,5,5,6,6,6,0,2,7,10,11,3,6,17,3
43,2788,424204.5,3814543.5,2022,2,1,3,1,5,5,6,6,6,0,2,7,10,11,3,6,17,3
44,2799,424237.5,3814540.5,2022,2,1,3,1,5,5,6,6,1,5,9,7,10,1,0,6,17,3
35,2830,424330.5,3814567.5,2022,1,0,1,1,5,5,6,8,3,11,3,2,14,0,4,7,18,7
37,2861,424423.5,3814561.5,2022,1,0,1,4,5,5,6,8,3,11,3,13,14,0,4,7,18,7
30,2881,424483.5,3814582.5,2022,1,0,1,1,5,2,2,8,1,5,9,13,11,1,0,6,17,3
75,26,415918.5,3814447.5,2022,0,3,4,1,5,4,2,0,1,5,9,11,10,1,0,8,2,2
62,49,415987.5,3814486.5,2022,0,3,4,1,5,4,2,0,1,5,9,11,10,1,0,8,2,2
