row,col,x,y,year,gmm_full_k3,gmm_full_k4,gmm_full_k5,gmm_full_k6,gmm_full_k7,gmm_full_k8,gmm_full_k9,gmm_full_k10,gmm_full_k11,gmm_full_k12,gmm_full_k13,gmm_full_k14,gmm_full_k15,gmm_full_k16,gmm_full_k17,gmm_full_k18,gmm_full_k19,gmm_full_k20,gmm_diag_k3,gmm_diag_k4,gmm_diag_k5,gmm_diag_k6,gmm_diag_k7,gmm_diag_k8,gmm_diag_k9,gmm_diag_k10,gmm_diag_k11,gmm_diag_k12,gmm_diag_k13,gmm_diag_k14,gmm_diag_k15,gmm_diag_k16,gmm_diag_k17,gmm_diag_k18,gmm_diag_k19,gmm_diag_k20
26,3048,604375.5,3516637.5,2023,1,2,0,4,6,0,2,4,7,11,1,3,9,12,3,9,11,13,1,0,4,5,1,4,0,5,3,0,9,12,5,0,5,0,2,10
17,3075,604456.5,3516664.5,2023,1,2,1,0,0,5,5,4,5,6,12,11,10,3,16,3,3,3,0,0,4,5,1,4,0,5,3,0,9,12,5,15,1,10,2,3
29,3101,604534.5,3516628.5,2023,1,2,1,0,6,5,2,4,7,11,12,11,10,12,3,3,3,3,1,0,4,5,1,4,0,5,3,0,9,12,5,0,5,0,2,10
21,3137,604642.5,3516652.5,2023,1,0,0,2,1,4,2,3,7,7,11,0,14,6,8,8,0,12,0,0,4,5,6,6,7,7,8,4,7,11,9,14,4,8,16,4
10,3168,604735.5,3516685.5,2023,0,0,2,4,4,4,6,5,4,7,3,0,14,4,0,8,10,12,1,0,3,5,6,6,7,7,8,10,7,11,12,3,4,8,16,4
2,3209,604858.5,3516709.5,2023,0,0,2,4,4,4,2,3,4,7,3,0,14,4,0,8,10,7,0,2,3,5,0,6,7,7,8,9,7,11,9,11,9,13,14,1
10,3234,604933.5,3516685.5,2023,1,2,0,2,1,0,2,3,9,1,11,10,11,6,8,1,0,5,0,0,4,5,0,6,7,7,8,4,7,11,9,14,9,8,17,4
16,3241,604954.5,3516667.5,2023,1,0,0,4,4,4,6,3,7,7,3,12,0,4,7,5,10,7,0,0,3,1,6,6,7,7,8,10,7,6,12,3,9,13,14,17
26,3280,605071.5,3516637.5,2023,1,2,1,0,0,5,5,9,5,6,5,8,12,9,13,10,6,6,0,2,1,4,2,2,1,3,10,9,12,5,4,11,16,6,9,7
8,3325,605206.5,3516691.5,2023,0,3,4,3,3,1,3,6,2,4,9,6,5,8,10,0,15,8,1,1,0,3,5,5,4,9,7,3,3,7,8,4,3,3,6,6
11,3330,605221.5,3516682.5,2023,0,3,4,3,3,1,3,6,2,4,9,5,5,8,12,0,16,4,1,1,0,3,5,5,4,0,7,3,3,9,8,4,12,12,12,17
