row,col,x,y,year,kmeans_k3,kmeans_k4,kmeans_k5,kmeans_k6,kmeans_k7,kmeans_k8,kmeans_k9,kmeans_k10,kmeans_k11,kmeans_k12,kmeans_k13,kmeans_k14,kmeans_k15,kmeans_k16,kmeans_k17,kmeans_k18,kmeans_k19,kmeans_k20
46,1905,600946.5,3516577.5,2023,0,0,4,2,0,4,6,6,6,1,11,0,5,13,7,16,13,9
41,1943,601060.5,3516592.5,2023,0,0,4,2,4,4,6,6,6,1,11,0,5,5,3,1,4,3
44,1958,601105.5,3516583.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
42,1989,601198.5,3516589.5,2023,0,0,0,1,2,1,4,4,4,9,8,6,12,12,16,8,6,12
50,2030,601321.5,3516565.5,2023,1,1,1,4,0,7,6,7,5,8,10,13,6,14,1,6,16,4
38,2047,601372.5,3516601.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
59,2098,601525.5,3516538.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
50,2126,601609.5,3516565.5,2023,0,0,4,4,0,7,6,7,6,1,11,0,12,5,16,8,6,12
51,2139,601648.5,3516562.5,2023,1,1,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
49,2181,601774.5,3516568.5,2023,1,1,1,4,0,7,1,7,6,1,11,0,5,5,3,1,4,3
58,2192,601807.5,3516541.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
40,2229,601918.5,3516595.5,2023,1,0,4,4,0,7,1,7,6,1,11,0,5,5,3,1,4,3
44,2277,602062.5,3516583.5,2023,1,0,4,4,0,7,1,7,6,1,11,0,5,5,3,1,4,3
48,2306,602149.5,3516571.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
40,2320,602191.5,3516595.5,2023,0,0,4,2,4,4,6,7,6,1,11,0,5,5,3,1,4,3
38,2344,602263.5,3516601.5,2023,0,0,4,2,4,7,6,7,6,1,11,0,5,5,3,1,4,3
56,2386,602389.5,3516547.5,2023,1,1,1,0,2,6,1,8,9,3,0,5,4,11,12,13,8,16
36,2422,602497.5,3516607.5,2023,1,0,4,4,0,7,6,1,7,11,4,8,12,2,16,8,6,12
40,2437,602542.5,3516595.5,2023,0,0,4,4,4,1,4,4,6,9,8,6,12,12,16,8,6,12
54,2488,602695.5,3516553.5,2023,0,0,4,4,4,1,4,4,6,9,8,6,12,12,16,8,6,12
57,2509,602758.5,3516544.5,2023,1,1,1,4,0,7,1,7,5,8,11,13,6,14,1,1,16,4
56,2524,602803.5,3516547.5,2023,1,1,1,4,0,7,6,7,5,8,10,13,6,14,1,6,16,4
48,2560,602911.5,3516571.5,2023,1,1,1,4,0,7,6,7,5,8,4,8,10,2,0,12,16,4
40,2599,603028.5,3516595.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
38,2620,603091.5,3516601.5,2023,1,0,4,4,0,7,1,7,6,1,11,0,5,5,3,1,4,3
30,2640,603151.5,3516625.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
39,2672,603247.5,3516598.5,2023,1,1,1,4,2,7,1,8,9,3,0,10,0,10,11,13,8,17
56,2719,603388.5,3516547.5,2023,1,0,4,4,0,7,1,7,6,1,11,0,5,5,3,1,4,3
51,2746,603469.5,3516562.5,2023,0,0,4,4,4,1,4,4,6,9,8,6,12,12,16,8,6,12
53,2785,603586.5,3516556.5,2023,0,0,4,2,4,4,6,1,7,11,4,8,10,13,0,12,13,9
37,2810,603661.5,3516604.5,2023,0,0,4,4,0,4,6,1,7,11,4,8,10,13,0,12,13,9
47,2842,603757.5,3516574.5,2023,0,3,2,5,5,5,7,3,10,4,9,9,2,3,15,0,15,5
