row,col,x,y,year,kmeans_label,gmm_label,gmm_posterior_0,gmm_posterior_1,gmm_posterior_2,gmm_posterior_3,gmm_posterior_4,gmm_posterior_5,gmm_posterior_6,gmm_posterior_7,gmm_posterior_8,gmm_posterior_9
435,2337,602242.5,3515410.5,2022,7,3,0.00020849541629655477,0.0022430989180383387,7.90852377492301e-06,0.7379286283621359,1.6018579427049497e-07,0.25809618139320134,5.285253453946862e-08,4.867542853367921e-05,0.00014170142359540898,0.001325097496094511
421,2340,602251.5,3515452.5,2022,6,5,2.7680958626052874e-07,1.8088208925400042e-06,0.0004364739968161217,0.3275358889994798,0.0001464103106231416,0.3859341696283637,3.133107326301637e-09,7.283732658766766e-05,0.19107849367719512,0.0947936372973476
431,2399,602428.5,3515422.5,2022,7,5,4.7488009589175523e-07,5.247046729774958e-06,2.8205297850229295e-05,0.11598916449257769,2.2530311096457525e-10,0.8687622038139049,1.89258373267842e-10,1.9598568943997914e-07,0.015205081195541356,9.42687304995903e-06
425,2428,602515.5,3515440.5,2022,8,5,1.6904920131727878e-09,7.09797317103645e-08,6.352217348871159e-05,0.00590589485628713,3.405691248643217e-10,0.9146823296864224,2.5794847328713595e-13,3.223036470704419e-09,0.07932201920666818,2.6157843046935153e-05
426,2445,602566.5,3515437.5,2022,7,3,1.1654978956319265e-05,0.00018186436155399768,4.8216716620594e-05,0.800065570777865,8.704741273516093e-09,0.19492841816953274,4.838665135182038e-11,1.873430767870067e-05,0.004668022411811122,7.750952285351452e-05
446,2485,602686.5,3515377.5,2022,7,5,0.0019503704295876037,0.00576116157673472,5.846891088151919e-06,0.4741894775174226,1.7388191420772878e-09,0.5179969334053638,8.887314925361154e-08,1.1746631202962154e-05,6.397306938036393e-05,2.039986725238393e-05
445,2510,602761.5,3515380.5,2022,8,5,4.857889315007043e-05,3.157914488942722e-05,5.2124204159271024e-06,0.004467077195769126,5.92140498278223e-13,0.992901752742336,4.988187891576593e-09,3.9506527828023644e-08,0.0025457259405041186,2.9167626761460057e-08
447,2535,602836.5,3515374.5,2022,3,4,7.183563864628066e-07,7.92789755829737e-09,1.773429831704482e-05,2.8165911048073784e-06,0.9600070548001334,0.020267162610823813,6.875679279091051e-13,6.700964854859976e-06,0.01969780388185287,5.679418911748363e-10
444,2561,602914.5,3515383.5,2022,1,5,0.0015368184379565006,0.005590540639368823,4.0411769299076566e-05,0.37085043678133234,2.595249190085454e-06,0.5775377828361341,6.143332814531078e-11,2.087708322779967e-05,0.003261805471490206,0.04115873167056718
436,2593,603010.5,3515407.5,2022,8,5,2.049059666622238e-05,0.0012629853405147725,1.704229490569478e-05,0.40704834789004923,1.3006355300212052e-10,0.5878134540004204,3.4015613303206094e-11,2.685767806498587e-06,0.0038296286783749485,5.365267182315657e-06
